title,authors,year,doi,url,abstract,database
Workplace Adoption of Generative AI,Alexander Bick; Adam Blandin; David J. Deming,2024,,https://www.nber.org/digest/202412/workplace-adoption-generative-ai,"Generative artificial intelligence (AI) has recently emerged as a potentially transformative workplace technology. The ultimate impact of generative AI on the economy will depend on how many workers adopt the technology, how intensively they use it, and for which tasks. In The Rapid Adoption of",NBER
The Economics of Generative AI,Erik Brynjolfsson; Danielle Li,2024,,https://www.nber.org/reporter/2024number1/economics-generative-ai,"Artificial intelligence (AI) is not a new field. The term was coined in 1956, but the field has only recently begun having significant effects on the economy. Research in AI went through three eras. Early work focused primarily on symbolic systems with hand-coded rules and instructions. In the 1980s",NBER
Generative AI at Work,Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond,2023,,https://www.nber.org/papers/w31161,"New AI tools have the potential to change the way workers perform and learn, but little is known about their impacts on the job. In this paper, we study the staggered introduction of a generative AI-based conversational assistant using data from 5,179 customer support agents. Access to the tool",NBER
The Rapid Adoption of Generative AI,Alexander Bick; Adam Blandin; David J. Deming,2024,,https://www.nber.org/papers/w32966,"Generative artificial intelligence (AI) is a potentially important new technology, but its impact on the economy depends on the speed and intensity of adoption. This paper reports results from a series of nationally representative U.S. surveys of generative AI use at work and at home. As of late",NBER
Generative AI and Firm Values,Andrea L. Eisfeldt; Gregor Schubert; Miao Ben Zhang,2023,,https://www.nber.org/papers/w31222,How do recent advances in Generative AI affect firm value? We construct the first measure of firms workforce exposures to Generative AI and show that an Artificial-Minus-Human (AMH) portfolio earned 5% in the two weeks following the release of ChatGPT. The labor-exposure effect is more pronounced,NBER
Measuring the Productivity Impact of Generative AI,Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond,2023,,https://www.nber.org/digest/20236/measuring-productivity-impact-generative-ai,"Customer support agents using an AI tool to guide their conversations saw a nearly 14 percent increase in productivity, with 35 percent improvements for the lowest skilled and least experienced workers, and zero or small negative effects on the most experienced/most able workers, Erik Brynjolfsson,",NBER
How will Generative AI impact Communication?,Joshua S. Gans,2024,,https://www.nber.org/papers/w32690,This paper examines the impact of Generative AI (GAI) on communication through the lens of salience and signalling models. It explores how GAI affects both senders' ability to create salient messages and receivers' costs of absorbing them. The analysis reveals that while GAI can increase,NBER
Shifting Work Patterns with Generative AI,Eleanor W. Dillon; Sonia Jaffe; Nicole Immorlica; Christopher T. Stanton,2025,,https://www.nber.org/papers/w33795,"We present evidence from a field experiment across 66 firms and 7,137 knowledge workers. Workers were randomly selected to access a generative AI tool integrated into applications they already used at work for email, meetings, and writing. In the second half of the 6-month experiment, the 80% of",NBER
"Still Waters, Rapid Currents: Early Labor Market Transformation under Generative AI",Anders Humlum; Emilie Vestergaard,2025,,https://www.nber.org/papers/w33777,"We study the early labor market impacts of AI chatbots by linking large-scale adoption surveys to administrative labor market records in Denmark. We document rapid currents: most employers in exposed occupations have adopted chatbot initiatives, workers report productivity benefits, and new AI",NBER
Generative AI for Economic Research: LLMs Learn to Collaborate and Reason,Anton Korinek,2024,,https://www.nber.org/papers/w33198,"Large language models (LLMs) have seen remarkable progress in speed, cost efficiency, accuracy, and the capacity to process larger amounts of text over the past year. This article is a practical guide to update economists on how to use these advancements in their research. The main innovations",NBER
12 Best Practices for Leveraging Generative AI in Experimental Research,Samuel Chang; Andrew Kennedy; Aaron Leonard; John A. List,2024,,https://www.nber.org/papers/w33025,"We provide twelve best practices and discuss how each practice can help researchers accurately, credibly, and ethically use Generative AI (GenAI) to enhance experimental research. We split the twelve practices into four areas. First, in the pre-treatment stage, we discuss how GenAI can aid in pre",NBER
Does Generative AI Narrow Education-Based Productivity Gaps? Evidence from a Randomized Experiment,Guillermo Cruces; Diego Fernández Meijide; Sebastian Galiani; Ramiro H. Gálvez; María Lombardi,2026,,https://www.nber.org/papers/w34851,"Does generative artificial intelligence (AI) reinforce or reduce productivity differences across workers? Existing evidence largely studies AI within firms and occupations, where organizational selection compresses educational heterogeneity, leaving unclear whether AI narrows productivity gaps",NBER
"Old Moats for New Models: Openness, Control, and Competition in Generative AI",Pierre Azoulay; Joshua L. Krieger; Abhishek Nagaraj,2024,,https://www.nber.org/papers/w32474,"Drawing insights from the field of innovation economics, we discuss the likely competitive environment shaping generative AI advances. Central to our analysis are the concepts of appropriabilitywhether firms in the industry are able to control the knowledge generated by their innovationsand",NBER
The Cybernetic Teammate: A Field Experiment on Generative AI Reshaping Teamwork and Expertise,Fabrizio Dell&#039;Acqua; Charles Ayoubi; Hila Lifshitz; Raffaella Sadun; Ethan Mollick; Lilach Mollick; Yi Han; Jeff Goldman; Hari Nair; Stewart Taub; Karim Lakhani,2025,,https://www.nber.org/papers/w33641,"We examine how artificial intelligence transforms the core pillars of collaborationperformance, expertise sharing, and social engagementthrough a pre-registered field experiment with 776 professionals at Procter & Gamble, a global consumer packaged goods company. Working on real product innovation",NBER
AI and Finance,Andrea L. Eisfeldt; Gregor Schubert,2024,,https://www.nber.org/papers/w33076,We provide evidence that the development and adoption of Generative AI is driving a significant technological shift for firms and for financial research. We review the literature on the impact of ChatGPT on firm value and provide directions for future research investigating the impact of this major,NBER
A Practitioner's Guide to Using Large Language Models and Generative AI in Economic History,Andreas Ferrara,2026,,https://www.nber.org/papers/w35374,"Large language models (LLMs) are lowering the entry barriers to working with exciting data sources that used to require strong data science skills, such as handwritten ledgers, text, images, or sound recordings. This guide provides an introduction for researchers who are new to LLMs. It sets out a",NBER
Does Generative AI Crowd Out Human Creators? Evidence from Pixiv,Sueyoul Kim; Ginger Zhe Jin; Eungik Lee,2026,,https://www.nber.org/papers/w34733,"Using a comprehensive dataset of posts from a major platform for anime- and manga-style artwork, we study the impact of the launch of a prominent text-to-image generative AI. Focusing on the majority of incumbent creators who do not adopt AI as a primary tool, we show that the AI launch led to a",NBER
The Politics of AI,Nicholas Bloom; Christos Makridis,2026,,https://www.nber.org/papers/w34813,"Using new data from the Gallup Workforce Panel, we show that the apparent partisan divide in workplace AI adoption is largely an artifact of educational and occupational sorting rather than ideological differences in technology adoption. While Democrats are consistently more likely than Republicans",NBER
Workplace Concentration of Immigrants,Fredrik Andersson; Mónica García-Pérez; John C. Haltiwanger; Kristin McCue; Seth Sanders,2010,,https://www.nber.org/papers/w16544,To what extent do immigrants and the native-born work in separate workplaces? Do worker and firm characteristics explain the degree of workplace concentration? We explore these questions using a matched employer-employee database that extensively covers employers in selected MSAs. We find that,NBER
