candidate_id,candidate_identity,title,authors,year,doi,identifier,url,venue,source,query,raw_response,provenance_json
CAND-0001,doi:10 18653 v1 2024 emnlp main 743,1+1{\ensuremath{>}}2: Can Large Language Models Serve as Cross-Lingual Knowledge Aggregators?,"Huang, Yue and Fan, Chenrui and Li, Yuan and Wu, Siyuan and Zhou, Tianyi and Zhang, Xiangliang and Sun, Lichao",2024,10.18653/v1/2024.emnlp-main.743,,https://aclanthology.org/2024.emnlp-main.743/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0002,doi:10 18653 v1 2025 findings emnlp 765,1+1{\ensuremath{>}}2: A Synergistic Sparse and Low-Rank Compression Method for Large Language Models,"Zong, Zeliang and Zhang, Kai and Li, Zheyang and Tan, Wenming and Ren, Ye and Zhai, Yiyan and Hu, Jilin",2025,10.18653/v1/2025.findings-emnlp.765,,https://aclanthology.org/2025.findings-emnlp.765/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0003,title:12 best practices leveraging generative ai experimental research,12 Best Practices for Leveraging Generative AI in Experimental Research,Samuel Chang; Andrew Kennedy; Aaron Leonard; John A. List,2024,,,https://www.nber.org/papers/w33025,,manual-import,nber_generative_ai.csv,,"[{""query"": ""nber_generative_ai.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""acb767e3de3457e519b8cbb5877bff62d02a4a4c4b5ee50147d0ac0947c68708"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""NBER\"", \""file\"": \""docs/survey/audit/imports/nber_generative_ai.csv\"", \""file_sha256\"": \""acb767e3de3457e519b8cbb5877bff62d02a4a4c4b5ee50147d0ac0947c68708\"", \""query_or_filter\"": \""generative AI workplace; page=1; title/abstract terms=generative ai, writing, email, communication, productivity, workplace\"", \""retrieved_at\"": \""2026-08-22T05:06:19+00:00\"", \""sha256\"": \""acb767e3de3457e519b8cbb5877bff62d02a4a4c4b5ee50147d0ac0947c68708\"", \""source_url\"": \""https://www.nber.org/api/v1/search\""}""}]"
CAND-0004,doi:10 18653 v1 2022 gem 1 46,20{Q}: Overlap-Free World Knowledge Benchmark for Language Models,"De Bruyn, Maxime and Lotfi, Ehsan and Buhmann, Jeska and Daelemans, Walter",2022,10.18653/v1/2022.gem-1.46,,https://aclanthology.org/2022.gem-1.46/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:05+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0005,title:2nd longitudinal corpus children s writing enhanced output specific spelling patterns,A 2nd Longitudinal Corpus for Children{'}s Writing with Enhanced Output for Specific Spelling Patterns,"Berkling, Kay",2018,,,https://aclanthology.org/L18-1358/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:05+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0006,doi:10 18653 v1 2025 findings emnlp 562,3{D}-Aware Vision-Language Models Fine-Tuning with Geometric Distillation,"Lee, Seonho and Choi, Jiho and Kang, Inha and Kim, Jiwook and Park, Junsung and Shim, Hyunjung",2025,10.18653/v1/2025.findings-emnlp.562,,https://aclanthology.org/2025.findings-emnlp.562/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0007,doi:10 18653 v1 2025 findings acl 722,"3{DM}: Distill, Dynamic Drop, and Merge for Debiasing Multi-modal Large Language Models","Zhang, Zhaoxi and Lee, Sanwoo and Wang, Zhixiang and Wu, Yunfang",2025,10.18653/v1/2025.findings-acl.722,,https://aclanthology.org/2025.findings-acl.722/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0008,doi:10 18653 v1 2025 acl long 1219,500x{C}ompressor: Generalized Prompt Compression for Large Language Models,"Li, Zongqian and Su, Yixuan and Collier, Nigel",2025,10.18653/v1/2025.acl-long.1219,,https://aclanthology.org/2025.acl-long.1219/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0009,doi:10 18653 v1 2025 findings acl 1355,7 Points to Tsinghua but 10 Points to {清华}? {A}ssessing Large Language Models in Agentic Multilingual National Bias,"Liu, Qianying and Wang, Katrina Qiyao and Cheng, Fei and Kurohashi, Sadao",2025,10.18653/v1/2025.findings-acl.1355,,https://aclanthology.org/2025.findings-acl.1355/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
CAND-0010,doi:10 18653 v1 2025 arabicnlp sharedtasks 136,912 at {TAQEEM} 2025: A Distribution-aware Approach to {A}rabic Essay Scoring,"Dam Vu, Trong-Tai and {\DJ}ặng V{\u{a}}n, Th{\`i}n",2025,10.18653/v1/2025.arabicnlp-sharedtasks.136,,https://aclanthology.org/2025.arabicnlp-sharedtasks.136/,,manual-import,acl_anthology_writing.csv,,"[{""query"": ""acl_anthology_writing.csv"", ""raw_response"": null, ""retrieved_at"": ""2026-08-24T11:31:06+00:00"", ""search_mode"": ""public-database-broad"", ""source"": ""manual-import"", ""source_hash"": ""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29"", ""source_provenance"": ""{\""complete\"": true, \""database\"": \""ACL Anthology\"", \""file\"": \""docs/survey/audit/imports/acl_anthology_writing.csv\"", \""file_sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""query_or_filter\"": \""title contains writing, feedback, revision, human-AI, language model, essay, or creative; no record cap\"", \""retrieved_at\"": \""2026-08-22T05:06:12+00:00\"", \""sha256\"": \""26f9f9532a13f9a6e6280f4df9ef0e4bcdbc0b6a4b5d2b5a80313fa24c2e4e29\"", \""source_url\"": \""https://aclanthology.org/anthology.bib.gz\""}""}]"
